,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,1-800-On-Her-Own,1-800-On-Her-Own is a 2024 American documentary film about the life and career of singer-songwriter Ani DiFranco.[1][2] It is directed by Dana Flor.,Dana Flor,,"Amy Hobby, Emily Wachtel",,,Kristina Motwani,"June 10, 2024(Tribeca Festival)",United States,English
1,"1+1+1 Life, Love, Chaos","The cast also includes Dany Lefebvre, Matai Stevens, Mathéo Piccinin, Jean-Francois Poirier, Karim Babin and Claudia Hurtubise in supporting roles.",Yanie Dupont-Hébert,Yanie Dupont-Hébert,Yanie Dupont-Hébert,"Noémie Yelle, Victor Andrés Trelles Turgeon, Irlande Côté",Edith Labbé,Hubert Hayaud,"September 29, 2024(FCIAT)",Canada,French
2,The 4:30 Movie,"The 4:30 Movie is a 2024 American semi-autobiographical coming-of-age comedy film written and directed by Kevin Smith. It stars Austin Zajur, Nicholas Cirillo, Reed Northrup, Siena Agudong, and Ken Jeong. The story is loosely based on Smith's experiences sneaking into movie theaters as a teenager and his earliest romantic endeavors.[5] It was released on September 13, 2024, by Saban Films.",Kevin Smith,Kevin Smith,"Joshua Bachove, Liz Destro, Jordan Monsanto","Austin Zajur, Nicholas Cirillo, Reed Northrup, Siena Agudong, Ken Jeong",Yaron Levy,Kevin Smith,"September 13, 2024",United States,English
3,5D,"5D is a 2024 Indian Kannada-language suspense thriller film co-written and directed by S. Narayan. The film was produced by Swathi Kumar under the banner One To Hundred.[3] The film stars himself, Aditya and Aditi Prabhudeva.",S. Narayan,,Swathi Kumar,"Aditya, Aditi Prabhudeva, S. Narayan",Kumar Gowda SK,Shivu Yadav,16 February 2024,India,Kannada
4,7 Beats per Minute,"The film premiered on March 8, 2024, at SXSW,[3] and had its Canadian premiere on April 26 at the Hot Docs Canadian International Documentary Festival.[4]",Yuqi Kang,Yuqi Kang,Ina Fichman,Jessea Lu,"Kalina Bertin, Alexandre Lampron, Scott Alexander Ruderman",Dominique Champagne,"March 8, 2024(SXSW)",Canada,"English, Mandarin"
5,"7 Days, 7 Nights","This film was theatrically released in Russia on May 16, 2024, by National Media Group Film Distribution.[3]",Hayk Kbeyan,"Narek Avagyan, Mikhail Aleksanyants, Ashot Abrahamyan","Gevond Andreasyan, Sarik Andreasyan, Georgy Shabanov, Tigran Hambardzmyan, Ilya Shuvalov, Hrayr Grigoryan, Artashes Andreasyan, Narek Stepanyan","Sergey Marin, Zoya Berber, Egor Nikolayenko, Sofiya Petrova, Arman Navasardyan, Alina Barkalova, Yuliya Sharova, Armen Margaryan",Artur Ustyan,Arsen Safaryan,"May 16, 2024(Russia)",Russia,Russian
6,7 Walks with Mark Brown,"7 Walks with Mark Brown is structured as a diptych, divided into two main parts: ""The Shooting"" and ""The Herbarium"".","Pierre Creton, Vincent Barré",,Arnaud Dommerc,Mark Brown,"Pierre Creton (digital), Antoine Pirotte (, 16 mm, ), Sophie Roger (16 mm)","Pierre Creton, Vincent Barré",28 June 2024(France),France,French (with English subtitles internationally)
7,7/G,7/G is a 2024 Indian Tamil-language horror film directed by Haroon and starring Sonia Agarwal and Smruthi Venkat.[1] The film was released on 5 July 2024 to mixed-to-negative reviews.[2][3],Haroon,Haroon,Haroon,"Sonia Agarwal, Smruthi Venkat, Siddharth Vipin, Subramaniam Siva",Kannaa,Biju. V. Don Bosco,5 July 2024,India,Tamil
8,8 Don 75,"8 Don 75, Fakta Ichchhashakti Havi! (transl. 8 Don 75, All it takes is willpower!) is a 2024 Indian Marathi-language drama film co-written and directed by Sushrut Bhagwat.[2][3] Produced by Vikas Hande, Lokesh Mangade and Sudhir Kolte under Uddaharnarth Nirmit. The film stars Shubhankar Tawde, Sanskruti Balgude, Sanjay Mone, Sharvari Pillaai and Pushkar Shrotri.[4] The songs were composed by Avadhoot Gupte.[5] The story revolves around the rare subject of body donation.[citation needed]",Sushrut Bhagwat,"Sharvani Pillai, Sushrut Bhagwat, Sanjay Mone","Vikas Hande, Lokesh Mangade, Sudhir Kolte","Shubhankar Tawde, Sanskruti Balgude, Sanjay Mone, Anand Ingale, Pushkar Shrotri",Yogesh Rajguru,Rajesh Rao,19 January 2024,India,Marathi
9,8 Views of Lake Biwa,"On the shimmering shores of Europe's otherworld, two young girls, Hanake and her best friend, talk about their first love interest while watching the yachts sailing toward Kyoto. Nevertheless, the magic is fading in their isolated fishing village as they deal with a recent disaster. It is clear that intimacy alone will not help them process their loss.[8]",Marko Raat,,"Ivo Felt, Dora Nedeczky",Elina Masing,"Sten-Johan Lill, [, 1, ]",Jaak Ollino Jr.,"January 31, 2024(IFFR)","Estonia, Finland",Estonian
10,9 Windows,"Liza, a recent graduate in Law and Information Technology, is on the cusp of joining the FBI. On the day of her graduation, she and her parents are en route to a celebratory dinner when tragedy strikes, a truck collides with their car, killing her parents and leaving Liza paralyzed from the waist down. Eighteen months later, Liza lives alone, grappling with survivor's guilt and depression. Her only regular human contact is with Jeff, her physical therapist, who visits her for sessions aimed at improving her mobility and mental well-being.",Lou Simon,Lou Simon,"Bryce DiCristofalo, Lou Simon, Todd Slater","William Forsythe, Diana Garle, Jason Hignite, Christopher Millan, Michael Paré",Mauricio Vega,,"October 15, 2024",United States,English
11,10 Lives,"10 Lives is a 2024 animated fantasy comedy film directed by Chris Jenkins from a screenplay by Jenkins, Karen Wengrod and Ken Cinnamon. It was co-produced by Canada, United Kingdom, France and United States. The film features the voices of Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn, Jeremy Swift, Tabitha Cross and Bill Nighy. The film is about a pampered housecat Beckett (Gilligan) —  who totally takes for granted the lucky hand he has been dealt; loved and rescued by Rose, a kind-hearted and passionate student focused on saving the world's bee population — during and after his ninth life.",Chris Jenkins,,"Adrian Politowski, Martin Metz, Guy Collins, Sean Feeney, Valerie d'Auteuil, Andre Rouleau, Yann Zenou","Mo Gilligan, Simone Ashley, Sophie Okonedo, Zayn Malik, Dylan Llewellyn, Jeremy Swift, Tabitha Cross, Bill Nighy",Olaf Skjenna (layout),Mirenda Ouellet,"January 20, 2024(Sundance)","United Kingdom, Canada, France, United States",English
12,11 Rebels,"11 Rebels (Japanese: 十一人の賊軍) is a 2024 Japanese samurai, period action film directed by Kazuya Shiraishi, starring Takayuki Yamada and Taiga Nakano.[2][3] The film had its world premiere at the 37th Tokyo International Film Festival as opening film with screening on October 28, 2024.[4]",Kazuya Shiraishi,,Daisuke Takahashi,"Takayuki Yamada, Taiga Nakano, Hiroshi Tamaki, Sadao Abe",Naoya Ikeda,Hitami Kato,28 October 2024(Tokyo),Japan,Japanese
13,12 Gaun,"12 Gaun   (Nepali: १२ गाउँ) is a 2024 Nepali action drama film directed by Biraj Bhatta. Written by Santosh Sarkar, the film is produced by Saraswati Bhatta under the banner of Biraj Bhatt Film Production. The film was released on October 10, 2024, during the festival of Dashain.[1] It stars Biraj Bhatta, Samir Bhatt, Sonu Chandrapal, Deeya Maskey, Murali Dhar, Sanisha Bhattarai, Naren Khadka, and Nancy Khadka. It is the debut film of Samir Bhatt son of Biraj Bhatt, Sanisha Bhattarai, and Nancy Khadka, as well as the Nepali debut of Indian actress Sonu Chandrapal.[2]",Biraj Bhatta,Santosh Sarkar,Saraswati Bhatta,"Biraj Bhatta, Samir Bhatt, Sonu Chandrapal, Deeya Maskey, Murali Dhar, Sanisha Bhattarai, Nancy Khadka",,"Bhupendra Adhikari, Praveen K. L.","October 10, 2024",Nepal,Nepali
14,14,"14 is a 2024 Indian Telugu-language thriller film written and directed by Lakshmi Srinivas. The film stars Noel Sean, Ram Rathan Reddy, and Vishakha Dhiman in the lead roles. The film was produced by Subbarao Rayana and Siva Krishna Nichenametla under the banner of Royal Pictures. The film was released on 5 July 2024.",Lakshmi Srinivas,"Lakshmi Srinivas, Adithya Bhargav","Subbarao Rayana, Siva Krishna Nichhena Metla, Srinivas D","Noel Sean, Ram Rathan Reddy, Vishakha Dhiman",Sainadh N,"Janaki Rama Pamaraju, Sivaganesh",5 July 2024,India,Telugu
