,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,3 Ekka,"3 Ekka (Gujarati: ૩ એક્કા) is a 2023 Indian Gujarati-language drama film directed by Rajesh Sharma and written by Chetan Daiya and Parth Trivedi. It stars Malhar Thakar, Yash Soni, Mitra Gadhavi, Kinjal Rajpriya, Esha Kansara, and Tarjanee Bhadla in the lead roles.[2] The film was released on 25 August 2023 and went on to become the second-highest grossing Gujarati film of all time, behind Chaal Jeevi Laiye!.",Rajesh Sharma,"Chetan Daiya, Parth Trivedi","Anand Pandit, Vaishal Shah","Malhar Thakar, Yash Soni, Mitra Gadhavi, Kinjal Rajpriya, Esha Kansara, Tarjanee Bhadla",Pratik Parmar,Nirav Panchal,25 August 2023,India,Gujarati
1,3.6.9,"3.6.9 is a 2023 Indian Tamil-language science fiction film written and directed by Shiva Madhav. The film stars K. Bhagyaraj and PGS, who produced the film under the banner of PGS Productions.[1]",Shiva Madhav,Shiva Madhav,PGS,"K. Bhagyaraj, PGS",Marishwaran Mohan Kumar,R.K. Srinath,25 August 2023,India,Tamil
2,4 Kings II,"The film continues the story from the previous part. It happened when Tummeng, a Kanokarcheewa student was attacked and seriously injured, resentment arose among Kanokarcheewa students. Bang, the leader of the Kanok students, prepared revenge on Buranabondh students, who are foes.",Phuttipong Nakthong,"Phuttipong Nakthong, Rattanapon Pakprieo",,"Somphol Rungpanich, Ukrit Willibrord Dongabriel, Sutthirak Subvijitra, Sine Charoenpura, Sirat Intarachote, Todsapol Maisuk, Natthawut Jenmana, Benjamin Joseph Varney, Patara Eksangkul",,Dog Back Dee,"November 30, 2023",Thailand,Thai
3,7:11 PM,"7:11 PM is a 2023 Indian Telugu-language sci-fi action thriller film directed by Chaitu Madala[citation needed] and produced by Naren Yanamadala, Madhuri Ravipati and Vani Kanneganti under the banner Arcus Films.The film was released on 7 July 2023 in India, Australia and USA.",Chaitu Madala,"Chaitu Madala, Hemant K Bhatnagar","Naren Yanamadala, Madhuri Ravipati, Vani Kanneganti","Saahas Pagadala, Deepika Reddy, Tess Walsh, Raghu Karumanchi, Bharath Reddy, Rising Raju","Siva Shankar, Fabio Capodivento, Chaitu Madala",Srinu Thota,7 July 2023,India,Telugu
4,8,"8 is a 2023  Indian Malayalam-language crime-thriller film directed by Roshin A Rahman[1] and produced by Muhsina Koyakutty.[2] The film stars Favaz Jalaludeen, Irfan Imam, Aneesha Ummer, Vinod Guinness, Ambi Neenasam, Althwaf S, Aiswarya, Sarika etc.[3] The lead actor was also known for being the first actor to buy land on the Moon, purchasing 8 acres of land on behalf of the movie.[4][5]",Roshin A Rahman,,Muhsina Koyakutty,"Favaz Jalaludeen, Aneesha Ummer, Irfan Imam",Bharat R Sekhar,Vishnu Venugopal,"September 29, 2023",India,Malayalam
5,8 A.M. Metro,"8 A.M. Metro is a 2023 Indian Hindi-language drama film written and directed by Raj Rachakonda. The film stars Gulshan Devaiah and Saiyami Kher in pivotal roles. This film is inspired from Malladi Venkata Krishna Murthy's novel Andhamaina Jeevitham (trans| Life is Beautiful).[1] The film tells the unusual story of two strangers who inadvertently bump into each other in the metro and strike up an unlikely friendship, in the process finding themselves and each other.[2]",Raj Rachakonda,Raj Rachakonda,"Raj Rachakonda, Kishore Ganji","Gulshan Devaiah, Saiyami Kher",Sunny Kurapati,Anil Aalayam,19 May 2023,India,Hindi
6,12.12: The Day,"12.12: The Day (Korean: 서울의 봄; RR: Seourui bom; lit. Seoul's Spring) is a 2023 South Korean historical drama film directed by Kim Sung-su, starring Hwang Jung-min, Jung Woo-sung, Lee Sung-min, Park Hae-joon ,and Kim Sung-kyun.[4] The film is set against the backdrop of the December 12, 1979, military coup from the late 1970s to early 1980s.[5] It was released theatrically on November 22, 2023.[4]",Kim Sung-su,"Hong In-pyo, Hong Won-Chan, Lee Young-jong, Kim Sung-su",Kim Won-kuk,"Hwang Jung-min, Jung Woo-sung, Lee Sung-min, Park Hae-joon, Kim Sung-kyun",Lee Mo-gae,Kim Sang-bum,"November 22, 2023",South Korea,Korean
7,12th Fail,"12th Fail is a 2023 Indian Hindi-language biographical drama film directed, produced and written by Vidhu Vinod Chopra. It is based on the 2019 eponymous non-fiction book by Anurag Pathak about Manoj Kumar Sharma, who overcame extreme poverty to become an Indian Police Service officer, and Shraddha Joshi, who became an Indian Revenue Service officer and married Sharma.[4] The film stars Vikrant Massey as Sharma and Medha Shankr as Joshi, alongside Anant Joshi, Anshumaan Pushkar and Priyanshu Chatterjee.",Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Jaskunwar Kohli","Vidhu Vinod Chopra, Yogesh Ishwar","Vikrant Massey, Medha Shankr, Anant Joshi, Anshumaan Pushkar, Priyanshu Chatterjee",Rangarajan Ramabadran,"Jaskunwar Kohli, Vidhu Vinod Chopra",27 October 2023,India,Hindi
8,13 Bombs in Jakarta,"13 Bombs in Jakarta (Indonesian: 13 Bom di Jakarta) is an Indonesian espionage action film released in 2023, directed by Angga Dwimas Sasongko. The film, produced by Visinema Pictures, stars Chicco Kurniawan, Ardhito Pramono, and Lutesha. It premiered in Indonesian cinemas on 28 December 2023 and in Malaysia on 1 February 2024.[2]",Angga Dwimas Sasongko,,Taufan Adryan,"Chicco Kurniawan, Ardhito Pramono, Lutesha, Rio Dewanto, Putri Ayudya, Ganindra Bimo, Niken Anjani, Rukman Rosadi, Muhammad Khan, Andri Mashadi",Arnand Pratikto,Hendra Adhi Susanto,2 December 2023(JAFF),Indonesia,Indonesian
9,13th Summer,"13th Summer is a 2023 Australian film that was filmed on the Fraser Coast of Queensland in late 2022,[1] and directed by Tam Sainsbury.[2]
It was Bec Hewitt's first onscreen acting role in almost 13 years.[3] It received its Australian premiere on Nine Network's free-to-air digital television channel, 9Gem on 26 December 2023.[3]",Tam Sainsbury,Jeremy Stanford,,"Hannah Levien, Nathan Phillips, Bec Cartwright, Jeremy Stanford, Ben Turland, Georgie Parker",Esteban Rivera,Bill Missett,26 December 2023(Australia),Australia,English
