,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,1Up,"1Up is a 2022 American comedy film directed by Kyle Newman and written by Julia Yorks. It stars Paris Berelc, Taylor Zakhar Perez, Hari Nef, and Ruby Rose.[1] It was released on July 15, 2022, by Amazon Studios.[2] The film depicts an all-girls team competing in a gaming competition to earn prizes.",Kyle Newman,Julia Yorks,"Jason Moring, Michael Philip, Richard Alan Reid","Paris Berelc, Taylor Zakhar Perez, Hari Nef, Ruby Rose",Kristofer Bonnell,"Christine Kim, Mitch Martin","July 15, 2022",United States,English
1,3 Little Kungpoo Goats,"The film screened at Red Sea International Film Festival and the 54th International Film Festival of India, had limited theatrical releases in Russia and Turkey, and won Best Director in the animation category at International Film Festival for Children and Youth. It has grossed $365,087 worldwide.","Farzad Dalvand, Kianoush Dalvand","Darioush Dalvand, Bahram Heidari, Eliza Ip",Darioush Dalvand,"Jon Allen, Caroline Amiguet, Zack Andrews, Mark Atkinson, Brian Patrick Butler, Robert Clark, Jacob Farry, Krista Feallock, Mark Christopher Lawrence, Tiffany Loui, Kaitlyn McCormick, M. Keala Milles Jr., Connie Terwilliger, Melissa Tozeski",,,"September 10, 2022(World Festival of Animated Film)","Iran, China","Persian, Chinese, English"
2,4 Years,4 Years  is a 2022 Indian Malayalam-language film directed by Ranjith Sankar and produced by Dreams N  Beyond. The film stars Sarjano Khalid and Priya Prakash Varrier.[1],Ranjith Sankar,Ranjith Sankar,,"Sarjano Khalid, Priya Prakash Varrier",,Sangeeth Prathap,24 November 2022,India,Malayalam
3,6 Festivals,"6 Festivals is a 2022 Australian drama film directed by Macario De Souza and starring Rory Potter, Yasmin Honeychurch and Rasmus King.[1]",Macario de Souza,,"Jade van der Lei, Michael Wrenn, Shannon Wilson-McClinton, Macario de Souza","Rory Potter, Yasmin Honeychurch, Rasmus King",Hugh Miller,Ahmad Halimi,10 June 2022(Sydney Film Festival),Australia,English
4,6/45,"6/45 (Korean: 육사오; RR: Yuksao) is a 2022 South Korean comedy film directed by Park Gyu-tae, starring Go Kyung-pyo, Lee Yi-kyung, Eum Moon-suk, Park Se-wan, and Kwak Dong-yeon. The film depicts a comical encounter between South and North Korean soldiers over the 5.7 billion won lottery that crossed the Military Demarcation Line on the wind.[3] It was released on August 24, 2022.[4][5]",Park Gyu-tae,,,"Go Kyung-pyo, Lee Yi-kyung, Eum Moon-suk, Park Se-wan, Kwak Dong-yeon, Lee Soon-won, Kim Min-ho",Lee Si-yeon,Kim Chang-ju,"August 24, 2022",South Korea,Korean
5,7 Days 6 Nights,"7 Days 6 Nights is a 2022 Indian Telugu-language coming-of-age romantic comedy film written and directed by M. S. Raju.[1][2] The film features Sumanth Ashwin, Meher Chahal, Rohan M and Kritika Shetty in primary roles.[3] 7 Days 6 Nights was released on 24 June 2022.[4]",M. S. Raju,M. S. Raju,"Sumanth Ashwin, S. Rajanikant","Sumanth Ashwin, Meher Chahal, Rohan, Kritika Shetty",Nani Chamidisetty,Junaid Siddique,24 June 2022,India,Telugu
6,8 Found Dead,"8 Found Dead is a 2022 American supernatural horror film directed by Travis Greene, starring Aly Trasher, Alisha Soper, William Gabriel Grier, Eddy Acosta, Rosanne Limeres, Tim Simek and Nancy Linehan Charles.",Travis Greene,Jonathan Buchanan,"Jonathan Buchanan, Neil Evans, Nathaniel Upshaw, Ryan Valdez","Aly Trasher, Alisha Soper, William Gabriel Grier, Eddy Acosta, Rosanne Limeres, Tim Simek, Nancy Linehan Charles",Ryan Valdez,"Rick Blakely, Neil Evans","October 17, 2022(Screamfest LA)",United States,English
7,8/12 Binay Badal Dinesh,"8/12 Binay Badal Dinesh is a 2022 Bengali-language historical drama film directed by Arun Roy,[1] and produced by Kan Singh Sodha.[2] It is based on the historical attack on Writers' Building by three Bengal Volunteers in 1930.[3][4][5] The film was released on 26 January 2022 under the banner of KSS Productions and Entertainment.[6][7][8]",Arun Roy,,Kan Singh Sodha,"Kinjal Nanda, Arna Mukhopadhyay, Remo",Gopi Bhagat,Sanglap Bhowmik,26 January 2022,India,Bengali
8,9 Bullets,"9 Bullets is a 2022 American action thriller film written and directed by Gigi Gaston, starring Lena Headey, Sam Worthington, and Dean Scott Vazquez. The film was produced in California during the height of the COVID-19 pandemic. Gaston's inspiration for the film was based on her close friendship with the burlesque performer Gypsy Rose Lee. The film was formerly known as Gypsy Moon. It was released in select American theatres on April 22, 2022 by Screen Media, grossed $193,908 in total revenue worldwide, and received generally negative reviews from critics.",Gigi Gaston,Gigi Gaston,"Wendy Benge, Cassian Elwes, Gigi Gaston, Michael D. Jones, Paul Robarts, Veronica Radaelli, Tommy Thompson","Lena Headey, Sam Worthington, Dean Scott Vazquez",Byron Werner,"Eve Doherty, Halima K. Gilliam","April 22, 2022",United States,English
9,10,"10 is a 2022 Kannada-language film directed by Karm Chawla and starring Vinay Rajkumar in the role of a boxer, Gopal Deshpande as the coach and Anusha Raghunath as the boxer's love interest. The film is a sport drama exploring the life and struggles of a boxer.[1][2] 10 was announced in May 2019 and the shooting commenced in September 2019, wrapping just three months later in December 2019. It was made with a budget of ₹70 lakh (US$83,000), and the production budget amounted to just under ₹50 lakh (US$59,000), thus setting the stone for a new generation of high quality low-budget Kannada flicks. Before the commencement of principal photography, actor Vinay Rajkumar trained intensely for his role as a Featherweight Boxer by having regular workouts and strict diet regimen for six months.[3]",Karm Chawla,"Karm Chawla, Chandrajit Belliyappa, Anirudh Mahesh","Pushkara Mallikarjunaiah, Prem Bros",Vinay Rajkumar,Karm Chawla,Balashankar Menon,16 December 2022,India,Kannada
