,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,1 Night in San Diego,"1 Night in San Diego is a 2020 American comedy film written and directed by Penelope Lawson.[1][2] The film was released on video on demand on November 17, 2020.[3][4]",Penelope Lawson,Penelope Lawson,"Penelope Lawson, Pierce Cravens, Rowan Russell","Jenna Ushkowitz, Laura Ashley Samuels, Alexandra Daddario, Eric Nelsen, Mark Lawson, Adam Rose, Brian Borello, Nicolas DiPierro, Kelsey Douglas",Arlen Konopaki,Jarrett Keisling,"November 17, 2020",United States,English
1,2 Hearts,"2 Hearts is a 2020 American romantic drama film directed by Lance Hool and starring Jacob Elordi, Adan Canto, Tiera Skovbye and Radha Mitchell. It marks Hool's first directorial movie credit since 1999.",Lance Hool,,"Conrad Hool, Lance Hool","Jacob Elordi, Adan Canto, Tiera Skovbye, Radha Mitchell",Vincent De Paula,Craig Herring,"October 16, 2020",United States,English
2,2 Jam Nggak Ngapa-ngapain,"""2 Hours Doing Nothing"" (Indonesian: 2 Jam Nggak Ngapa-ngapain)[FN 1] was a two-hour video created by Madurese YouTuber Muhammad Didit, published on his YouTube channel Sobat Miskin Official (Official Broke Gang)[FN 2] on 10 July 2020 at 11:21:44 UTC.[1][FN 3] The video features Didit staring at the camera in his bedroom for two hours. It was originally intended to be a 10-minute video. It surpassed four million views, and a mobile game of the same name was later published.",,,Muhammad Didit,,,,10 July 2020,Indonesia,
3,2 Minutes of Fame,2 Minutes of Fame is a 2020 American comedy film directed by Leslie Small and starring Jay Pharoah and Katt Williams.[2][3],Leslie Small,"Devon Shepard, Yamara Taylor","Jeff Clanagan, Paul Hall","Jay Pharoah, Katt Williams",,,"June 16, 20201",United States,English
4,2 States,"2 States is a 2020 Indian Mayalam-language romantic comedy film directed and written by Jacky S. Kumar. It stars Manu Pillai, Sharanya R Nair, Mukesh, and Vijayaraghavan.[1]",Jacky S. Kumar,Jacky S. Kumar,"Sulfikar Kaleel, Naufal M. Thameem","Manu Pillai, Sharanya R Nair, Mukesh, Vijayaraghavan","Sanjay Harris, Prasanth Krishna",Sagar Das,6 March 2020,India,Malayalam
5,The 2nd,"The 2nd is a 2020 American action film directed by Brian Skiba, written by Eric Bromberg and Paul Taegel, and starring Ryan Phillippe, Casper Van Dien, Jack Griffo, Lexi Simonsen, Randy Charach, William McNamara, Jacob Grodnik, Richard Burgi, Samaire Armstrong and William Katt.[3][4][5] The film was released digitally and on demand on September 1, 2020.[6][7]",Brian Skiba,"Eric Bromberg, Paul Taegel","Geoffrey James Clark, Ryan Phillippe, Kirk Shaw, James Shavick, Brian Skiba, Josh Tessier, Daniel Grodnik","Ryan Phillippe, Casper Van Dien, Jack Griffo, Lexi Simonsen, William Katt, Richard Burgi, William McNamara, Samaire Armstrong, Jacob Grodnik, Randy Charach",Adam Biddle,Scott Conrad,"September 1, 2020",United States,English
6,3 Monkeys,"3 Monkeys is a 2020 Indian Telugu-language comedy-drama film written and directed by Anil Kumar G, starring Sudigali Sudheer, Getup Srinu and Auto Ram Prasad. The story revolves around three friends who get into trouble after meeting Sunny Leone, played by Karunya Chowdary. The situation worsens with the appearance of Shatru, played by Kautilya.[1]",Anil Kumar G,Anil Kumar G,G. Nagesh,"Sudigali Sudheer, Getup Srinu, Auto Ram Prasad, Karunya Chowdary, Kautilya",Sunny Domala,Uday Kumar D,"February 7, 2020",India,Telugu
7,3rd Class,"3rd Class is a 2020 Indian Kannada-language romantic action film directed by Ashok Dev and produced by Nam Jagadeesh under the banner of 7Hills Studio. The film starring Nam Jagadeesh, Roopika and Divya Rao, revolves around Sahana (Roopika) and Jagadeesh (Jaggi), who hails from the different socio-economic background. Sahana is a daughter of a home minister, while Jaggi is a mechanic. It is the story of their relationship and how they deal with this difference. The film was released on 7 February 2020.[2]",Ashok Dev,Nam Jagadeesh,Nam Jagadeesh,"Nam Jagadeesh, Roopika, Divya Rao",Syam Raj,Srikanth,7 February 2020,India,Kannada
8,4 North A,The film premiered at the 2020 Toronto International Film Festival.[1],"Howie Shia, Jordan Canning",Jordan Canning,Annette Clarke,,,Howie Shia,"September 11, 2020(TIFF)",Canada,English
9,8:46,"8:46 is a 2020 performance special by American comedian Dave Chappelle about violence against African Americans. The special was released via YouTube on June 12, 2020.[1] The performance is not a traditional stand-up comedy special, as it was recorded at a private outdoor venue due to the COVID-19 pandemic in Ohio and features long stretches without humor.[2] Critical consensus was positive for the comedy and the social commentary.","Julia Reichert, Steven Bognar",Dave Chappelle,,Dave Chappelle,,,"June 12, 2020",United States,English
10,The 8th,"The 8th is a 2020 documentary film about the campaign to repeal the Thirty-sixth Amendment of the Constitution of Ireland, which gave equal rights to the lives of a pregnant woman and her unborn child.[1][2] Consequently, the repeal of this amendment repealed the ban on abortion.","Aideen Kane, Lucy Kennedy, Maeve O'Boyle",,,"Wendy Grace, Andrea Horan, Ailbhe Smyth, Maria Steen",,,2020,Ireland,English
11,9/11 Kids,"The film premiered as part of the 2020 Hot Docs Canadian International Documentary Festival.[3] Due to the COVID-19 pandemic in Canada, it was not screened theatrically, but premiered as part of the festival's online streaming component and aired on CBC Television on April 23 as part of the network's special Hot Docs at Home series of films from the festival.[4]",Elizabeth St. Philip,"Elizabeth St. Philip, Greg West, Steve Gamester","Elizabath St. Philip, Steve Gamester",,Chris Romeike,Greg West,"April 23, 2020(Hot Docs)",Canada,English
