,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,1 Buck,1 Buck is a 2017 American thriller film directed by Fabien Dufils. It is Defils feature directorial debut.[1],Fabien Dufils,Fabien Dufils,"Matt Allen, Mitch Dickman, Michael Haskins",,Stéphane Vallée,Olivier Wicki,"January 10, 2017(Calcutta International Cult Film Festival)",United States,English
1,1 Chor 2 Mastikhor,"1 Chor 2 Mastikhor,[1] is a 2017 comedy-drama film directed by Prabhakar Sharan and produced under the banner of Pacific Investment Corporation.[2] 
The film stars Nancy Dobles, Prabhakar Sharan, Mario Chacón, José Castro and Scott Steiner.[3] The movie was released on 15 December 2017.[4]",Prabhakar Sharan,,Pacific Investment Corporation,"Prabhakar Sharan, Nancy Dobles, Scott Steiner, Mario Chacón",,,15 December 2017,"India, Costa Rica","Hindi, ,, Bhojpuri, , Spanish"
2,1 Mile to You,"1 Mile to You is a 2017 American sports romantic drama film directed by Leif Tilden. It stars Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Melanie Lynskey, Peter Coyote, and Tim Roth. It is based on Jeremy Jackson's 2002 novel, Life at These Speeds.",Leif Tilden,,"Scott William Alvarez, Tom Butterfield, Peter Holden, F.X. Vitolo","Billy Crudup, Graham Rogers, Liana Liberato, Stefanie Scott, Tim Roth",Gary Shaw,Tamara Meem,"April 7, 2017",United States,English
3,1%,"1% (also known as Outlaws) is a 2017 Australian biker film directed by Stephen McCallum and starring Ryan Corr, Abbey Lee and Matt Nable, who also wrote the film.[1] It premiered at the 2017 Toronto International Film Festival in September 2017,[2] where the film was acquired by A24 for North American distribution.[3]",Stephen McCallum,Matt Nable,"Jamie Hilton, Michael Pontin","Ryan Corr, Abbey Lee, Simone Kessell, Josh McConville, Matt Nable, Aaron Pedersen",Shelley Farthing-Dawe,Veronika Jenet,9 September 2017(TIFF),Australia,English
4,2 Countries,"2 Countries is a 2017 Indian Telugu-language romantic comedy film directed by N. Shankar starring Sunil and Manisha Raj. It is the remake of the Malayalam film, 2 Countries (2015).[1] The film is also produced by Shankar under the Banner of Mahalakshmi Arts. Gopi Sundar composed music for this film while C. Ram Prasad and Kotagiri Venkateswara Rao handled the cinematography and editing departments respectively. The film released on 29 December 2017.",N. Shankar,,N. Shankar,"Sunil, Manisha Raj",C. Ramprasad,Kotagiri Venkateswara Rao,29 December 2017,India,Telugu
5,2:22,"2:22 is a 2017 science fiction thriller film directed by Paul Currie, written by Nathan Parker and Todd Stein, and starring Michiel Huisman, Teresa Palmer and Sam Reid. The film's plot involves air traffic controller Dylan Branson, who, thanks to a mysterious anomaly at 2:22, prevented the collision of two aircraft and met Sarah, whose destinies appear to be tied to the time 2:22. The film was released in theaters and on VOD on June 30, 2017.[3]",Paul Currie,"Nathan Parker, Todd Stein","Bill Mechanic, Steve Hutensky, Paul Currie, Bruce Davey, Jodi Matterson","Michiel Huisman, Teresa Palmer, Sam Reid",David Eggby,"William Hoy, Sean Lahiff, Gary Woodyard","June 30, 2017","United States, Australia",English
6,3 Idiotas,Two nerdy friends and their arch rival from college embark on an adventure determined to find a college roommate who disappeared without a trace on graduation day.,Carlos Bolado,,"Miguel Mier, Bernardo Rugama, Jimena Rodríguez","Alfonso Dosal, Christian Vázquez, Germán Valdés III, Martha Higareda",Javier Morón,Perla Carpio,31 March 2017,Mexico,Spanish
7,3 Stolen Cameras,The film tells the story behind Équipe Média and its struggle while doing journalism at Western Sahara and their relationship with Morocco's government.[5] The title references the efforts made by the activists in order to protect their filming material.[3],,,,,,,2017(DOK Leipzig),"Sweden, [, 1, ], Spain, [, 1, ]",Arabic
8,3 Wheeling,"3 Wheeling is a Manx observational documentary film charting the sidecar class at the 2016 Isle of Man TT. The film used hidden cameras and lavalier microphones to capture an insight into the sport's highest-profile competitors, Dave Molyneux and Tim Reeves.",Nathan Russell-Raby,Nathan Russell-Raby,Chris Beauman,"Dave Molyneux, Tim Reeves, Klaus Klaffenböck",,,8 May 2017,Isle of Man,English
9,3Girls,,Wyne,,,"A Linn Yaung, Phway Phway, Ei Chaw Po, Paing Phyo Thu","Kyauk Phyu (Pa Day Thar), Ko Nay Win",,"December 15, 2017",Myanmar,Burmese
10,The 3rd Eye,"The 3rd Eye follows the young Abel (Bianca Hello) who is seeing mysterious things around her family's home. She has a hard time convincing her parents and sister about the sightings though, as they can not see any of the mentioned events themselves. 12 years later, Abel's parents die in a traffic accident and the sisters move back to their old house. In a search for understanding of Abels's ongoing mysterious sightings, the sisters soon learn about ""the third eye"", a way to see the supernatural world.[3][4][5]",Rocky Soraya,"Riheam Junianti, Rocky Soraya",,"Jessica Mila, Denny Sumargo, Citra Prima",,,"November 30, 2017",Indonesia,Indonesian
11,3rd Night,"3rd Night is an Australian horror film directed and written by Adam Graveley and starring Jesse McGinn, Robert Hartburn, and Bruce Denny.[1]",Adam Graveley,Adam Graveley,Dion Borrett,"Jesse McGinn, Robert Hartburn, Bruce Denny",Daniel Holliday,,"August 26, 2017(Horror Channel FrightFest)",Australia,English
12,The 4th Act,"The 4th Act is a 2017 Irish documentary film about the suburb of Ballymun in the Northside of Dublin, Ireland.[1] The film was directed by Turlough Kelly, who grew up in Ballymun.[2]",Turlough Kelly,,Andrew Keogh,,John Breslin,Turlough Kelly & Andrew Keogh,2017,Ireland,English
13,5 in the Afternoon,Mehrdad Parham is a lawyer who lives alone in the north of Tehran. He has to go to the bank branch at 5 o'clock to pay the bank installment to save his house from being confiscated by the bank but...,Mehran Modiri,Mehran Modiri,Mehran Modiri,"Siamak Ansari, Amir Jafari, Azadeh Samadi, Rasoul Najafian, Mehran Modiri",Mahmoud Kalari,,21 July 2017,Iran,Persian
14,5-25-77,"5-25-77, released as 25-5-77 in the United Kingdom, is a 2022 American coming-of-age film written and directed by Patrick Read Johnson and produced by Fred Roos and Gary Kurtz. It stars John Francis Daley as a teenage director living in Wadsworth, Illinois, and his excitement for the premiere of Star Wars on May 25, 1977.[1]",Patrick Read Johnson,Patrick Read Johnson,"Leigh Jones, Fred Roos, William Holmes, Gary Kurtz, Peter Bowers","John Francis Daley, Austin Pendleton, Colleen Camp, Neil Flynn, Scott Rans, Mark Kolar, Neal Olson, Emmi Chen, Steven Coulter, Justin Mentell","David Blood, Ken Seng","Alain K. Blair, Kat Thomas, Alex Creager","May 22, 2017(Genesee Theatre)",United States,English
15,5-Headed Shark Attack,"5-Headed Shark Attack is a 2017 American made-for-television action film produced by The Asylum in association with Syfy. The film is the third installment in the Multi-Headed Shark Attack film series, following 2-Headed Shark Attack and 3-Headed Shark Attack and preceding 6-Headed Shark Attack, with this film featuring both a four-headed and five-headed shark.",,,,,,,,,
16,6 Below: Miracle on the Mountain,"6 Below: Miracle on the Mountain is a 2017 American survival drama film[2] directed by Scott Waugh and written by Madison Turner, based on the non-fiction book Crystal Clear by Eric LeMarque and Davin Seay. It stars Josh Hartnett, Mira Sorvino, Sarah Dumont, and Jason Cottle, and tells the true story of former professional hockey player Eric LeMarque, who finds himself stranded in the High Sierra during a fierce snowstorm and must use his wit and willpower to survive. The film was released in the United States on October 13, 2017.",Scott Waugh,Madison Turner,"Scott Waugh, Bradley Pilz, Josh Hartnett, Simon Swart, Tucker Tooley","Josh Hartnett, Mira Sorvino, Sarah Dumont, Jason Cottle",Michael Svitak,Vashi Nedomansky,"October 13, 2017",United States,English
17,6 Days,"6 Days is a 2017 action thriller film directed by Toa Fraser and written by Glenn Standring. A British-New Zealand production, it is based on the 1980 Iranian Embassy siege in London and stars Jamie Bell, Abbie Cornish, Mark Strong, and Martin Shaw.",Toa Fraser,,Matthew Metcalfe,"Jamie Bell, Abbie Cornish, Mark Strong, Martin Shaw, Emun Elliott, Ben Turner, Aymen Hamdouchi, Tim Pigott-Smith, Robert Portal, Colin Garlick, Andrew Grainger, Martin Hancock",Aaron Morton,"John Gilbert, Dan Kircher",4 August 2017(NZIFF),"United Kingdom, New Zealand",English
18,6ix Rising,"The documentary showcases the rising hip hop scene of Toronto, after the blockbuster success of Drake and The Weeknd.[5] The film analyses the attention on how the success of these artists has turned the city's local rap scene into a hyper-competitive, and creative environment where young artists are competing for attention on the world stage. Artists and repertoire manager Lucas Prince, was involved with connecting the documentary makers with artists from Toronto to participate in the film.[6] It was listed at number 3 in Now's Top Five Black Films to watch in 2018.[7]",Shawney Cohen,,"Lauren Sing, Jade Smith, Patric McGuire, (Executive), Tania Natscheff, (Executive), Gregory Jones, (Executive)","Big Lean, Castro Guapo, Fiji, Friyie, Pressa, Jazz Cartier, Jimmy Prime, Jay Whiss, Andre Bryam, Sunny Diamonds, Keith Bell, Dukey Dukez","Norman Wong, Chris Wardle",Navin Harrilal,"November 16, 2017",Canada,English
19,7 Naatkal,"7 Naatkal (transl. 7 days) is a 2017 Indian Tamil language mystery thriller film directed by Gautham VR and written by P. Vimal Kumar. The film stars Shakthi and Nikesha Patel alongside an ensemble cast of Prabhu, Ganesh Venkatraman, Nassar, Angana Roy, Rajeev Govinda Pillai, and M. S. Bhaskar, among others, playing supporting roles. The music was composed by Vishal Chandrasekhar with cinematography done by M. S. Prabhu and editing by M. Jesvin Prabu. The film was released on 2 June 2017 to moderate success.",Gautham VR,P. Vimal Kumar S.A.Ramakrishnan (Dialogues),"K. Karthik, K. Karthikeyan","Shakthi Vasudevan, Prabhu, Ganesh Venkatraman, Nikesha Patel, Nassar, Angana Roy, Rajeev Govinda Pillai, M. S. Bhaskar",M. S. Prabhu,M. Jesvin Prabu,"June 2, 2017",India,Tamil
20,8 Thottakkal,"8 Thottakkal (transl. 8 Bullets) is a 2017 Indian Tamil-language crime thriller film written and directed by Sri Ganesh in his directoral debut. Produced by Vellapandian, the film stars his son Vetri, alongside an ensemble cast including Aparna Balamurali, Nassar, M. S. Bhaskar and Meera Mithun. Principal photography commenced in August 2016 at Chennai and was completed in November 2016. The film released on 7 April 2017.[1]",Sri Ganesh,Sri Ganesh,M. Vellapandian,"Vetri, Aparna Balamurali, M. S. Bhaskar, Nassar, Manikandan",Dinesh K. Babu,Nagooran Ramachandran,7 April 2017,India,Tamil
21,The 8-Year Engagement,"The 8-Year Engagement (Japanese: 8年越しの花嫁 奇跡の実話, Hepburn: 8-nengoshi no Hanayome: Kiseki no Jitsuwa) is a 2017 Japanese drama film directed by Takahisa Zeze. It is based on an autobiographical book by Hisashi Nishozawa and Mai Nakahara.[1]",Takahisa Zeze,Yoshikazu Okada,,"Takeru Satoh, Tao Tsuchiya",Koichi Saito,,16 December 2017(Japan),Japan,Japanese
22,9/11,"9/11 is a 2017 American action drama film[3] directed by Martin Guigui and written by Guigui and Steven Golebiowski. It is based on the stage play Elevator by Patrick James Carson, which takes place during the September 11 attacks at the World Trade Center in New York City. The film stars Charlie Sheen, Whoopi Goldberg, Gina Gershon, Luis Guzmán and Jacqueline Bisset, and was released in the United States on September 8, 2017.",Martin Guigui,,"Dahlia Waingort, Maj Stermec, Rodric David","Charlie Sheen, Gina Gershon, Luis Guzmán, Wood Harris, Olga Fonda, Jacqueline Bisset, Whoopi Goldberg",Massimo Zeri,Eric Potter,"September 8, 2017",United States,English
23,9 O'Clock,"9 O' Clock is a  Hindi film starring Dev Vart Singh, Arun Bakshi,[1] Kashiff Khan and Raju Thakkar. It is directed by Amrit Raj Thakur. The movie was telecast on the channel Enter10 on 10 June 2018.[2][3][4]",Amrit Raj Thakur,,Gaurav Shankar,"Dev Vart Singh, Kashiff Khan, Arun Bakshi, Raju Thakkar.",Avijeet Nandi,Akhilesh Mitra,24 February 2017,India,Hindi
24,10/31,"10/31 is a 2017 American anthology horror film consisting of five Halloween-themed short stories directed by Justin M. Seaman, Zane Hershberger, John William Holt, Brett DeJager, and Rocky Gray, along with a wraparound story directed by Hunter Johnson.[2] The film is executive produced by P. J. Starks.[3]","Hunter Johnson (""Malvolia: the Queen of Screams""), Justin M. Seaman, (""The Old Hag""), Zane Hershberger (""Trespassers""), John William Holt (""Killing the Dance""), Brett DeJager (""The Halloween Blizzard of '91""), Rocky Gray, (""The Samhain Slasher"")",,,,,,"October 28, 2017(Death By Festival)",United States,English
25,10 Days in Sun City,"10 days in Sun City is a 2017 Nigerian romantic action comedy film that premiered on 17 June 2017.[2][3][4] It is executive produced by AY Makun, who also plays a lead role in the film.[5] It is directed by Adze Ugah, written by Kehinde Ogunlola, and produced by Darlington Abuda.[4][6] The film is the third installment in the Akpos Adventure Franchise and was shot at locations in Lagos and Johannesburg, South Africa.[2][7]",Adze Ugah,,Darlington Abuda,"Adesua Etomi, AY Makun, Richard Mofe-Damijo, Mercy Johnson, Folarin Falana, Gbenro Ajibade",,,17 June 2017(Nigeria),Nigeria,English
26,12 Days,"Filmed at the Centre hospitalier Le Vinatier in Bron near to Lyon, the title derives from a French law that states that patients who are involuntarily committed to a psychiatric institution must have their case reviewed by a judge within 12 days of their committal.[3]",Raymond Depardon,,Claudine Nougaret,,Raymond Depardon,Simon Jacquet,"March 25, 2017(Cannes)",France,French
27,12 Feet Deep,"12 Feet Deep (originally titled The Deep End)[2] is a 2017 American psychological horror-thriller film written and directed by Matt Eskandari. It stars Alexandra Park and Nora-Jane Noone as sisters who find themselves trapped inside a public swimming pool when the manager activates the pool cover and leaves for the holidays.[3][4] Released by Mar Vista Entertainment on June 20, 2017,[5][6] it received generally positive reviews.",Matt Eskandari,"Matt Eskandari, Michael Hultquist",Mark Myers,"Alexandra Park, Nora-Jane Noone, Tobin Bell, Diane Farr",Byron Werner,Ryan Cooper,"June 20, 2017",United States,English
28,12-12-1950,"12-12-1950 is a 2017 Indian Tamil language comedy drama film written and directed by Selva, who starred as the lead role in the film. The movie is a tribute to the film actor Rajinikanth, and the title of the film corresponds to his birthday (12 December 1950).[1]",Selva,Selva,Jyo Star enterprises,"Selva, Ramesh Thilak, Adhavan, Ajai Prasad, Prashanth Kirubakaran",Vishnu Shri K.,Dinesh Ponraj,8 December 2017,India,Tamil
