,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,0-41*,"0–41* is an Indian feature film documentary in Malayalam language by director Senna Hegde examining young volleyball players and their lives in rural Kanhangad, India.[1]",Senna Hegde,Senna Hegde,"Preetham Hegde, Chetan Shetty, Prasanna Hegde","Rajesh Thoyammal, Vipin Kavvai, Abhilash Thoyammal, Priyadath TK, Sanal Manu",Keertan Poojary,Syam Krishnan,2016,India,Malayalam
1,1 Night,"1 Night is a 2016 American romantic drama film written and directed by Minhal Baig. It stars Anna Camp, Justin Chatwin, Isabelle Fuhrman and Kyle Allen.",Minhal Baig,Minhal Baig,"Hans Canosa, Kerry Barden, Marius A. Markevicius, Han West, Zilvinas Naujokas, Sean Vawter","Anna Camp, Justin Chatwin, Isabelle Fuhrman, Kyle Allen",Jesse M. Feldman,Jonathan M. Dillon,"October 14, 2016(AFF)",United States,English
2,1:54,"Tim, a 16-year-old timid yet brilliant student (played by Antoine Olivier Pilon), has been suffering from bullying in school and seemingly non-stopping intimidation and menace for the last 5 years by some of his schoolmates and particularly at the hands of the arch-bully in his school Jeff Roy (played by Lou-Pascal Tremblay). Tim who lives with his father (played by David Boutin) after his mother's early death, cannot confide in his own father despite the latter's efforts to get to the bottom of what is ailing his son.",Yan England,,"Diane England, Denise Robert","Antoine Olivier Pilon, Lou-Pascal Tremblay, Sophie Nélisse, David Boutin, Patrice Godin, Robert Naylor, Anthony Therrien",Claudine Sauvé,Philippe Gagnon,"August 24, 2016(FFA)",Canada,French
3,1st Sem,1st Sem is a 2016 Filipino independent coming of age comedy-drama film directed and written by Dexter Hemedez and Allan Ibanez in their feature-film directorial debut. The film stars Lotlot de Leon and newcomer Darwin Yu. It is an official entry to the 2nd CineFilipino Film Festival.[1][2][3][4],"Dexter Hemedez, Allan Ibanez","Dexter Hemedez, Allan Ibanez","Dexter Hemedez, Allan Ibanez, Gary Paglinawan","Lotlot de Leon, Darwin Yu, Miguel Bagtas, Allan Paule",Neil Daza,Alec Figuracion,"March 16, 2016(Cinefilipino Film Festival)",Philippines,"Filipino, English"
4,2 Cool 2 Be 4gotten,"2 Cool 2 Be 4gotten is a 2016 Filipino coming-of-age drama film directed by Petersen Vargas in his feature-length directorial debut and written by Jason Paul Laxamana. The film stars Khalil Ramos, Ethan Salvador and Jameson Blake.[2] It depicts the mysterious coming-of-age tale of Felix after he met half-American Snyder brothers, Magnus and Maxim.",Petersen Vargas,"Jason Paul Laxamana, Petersen Vargas",Alemberg Ang,"Khalil Ramos, Ethan Salvador, Jameson Blake",Carlos Mauricio,Mark Cyril Bautista,"November 17, 2016(Cinema One Originals)",Philippines,"English, Filipino, Kapampangan"
5,2 Jennifer,"2 Jennifer is a 2016 American indie horror film written and directed by Hunter Johnson, who also stars in the film.[1] The film is a sequel to James Cullen Bressack's To Jennifer and features Johnson as a young man intent on creating a sequel to the 2013 film.[2] The film also features David Coupe and Lara Jean Mummert.",Hunter Johnson,Hunter Johnson,"Christian Ackerman, Jarrett Furst, Hunter Johnson, Frank Merle","Hunter Johnson, David Coupe, Lara Jean Mummert",Hunter Johnson,Frank Merle,"June 3, 2016",United States,English
6,2 Penkuttikal,"2 Penkuttikal (English: Two Girls) is a 2016 Indian Malayalam film directed by Jeo Baby. It stars Anna Fathima and Shambavi in the lead roles with cameo appearances from Amala Paul, Tovino Thomas, and Anju Kurian. Fathima won Kerala State Film Award for Best Child Artist for her role in the film.[1] 2 Penkuttikal was screened at the Odisha International Film Festival and Busan Kids and Youth International Film Festival.[2]",Jeo Baby,Jeo Baby,"Nasib BR, Jayachandran Kolencherry, Joji Joseph","Anna Fathima, Shambavi",Adwaith Shine,Rahman Muhammed Ali,22 January 2016,India,Malayalam
7,2:30 min,"The 8 minutes film written and directed by Hayder Faris and produced by the Iraqi Canadian Society of Ontario is about the last two-and-a-half minutes of the victims' life of the 2016 Karrada bombing in Baghdad, which occurred on 3 July 2016. The cast included Jabbar Al Janabi, Maytham Salih, Mariam Al Ani, Farouk Sabri, as well as other Iraqi performers and personnel living in Canada. The film uses colour and slow motion scenes, and close shoot-ups to display fear and panic features in those final minutes. The film was shot in Scarborough a district of Toronto, that has a big population of Arab descent, as the director tries to create an environment that has the most resemblance to the streets and storefronts of Al-Karrada area in Baghdad.",Hayder Faris,Hayder Faris,Iraqi Canadian Society of Ontario,"Jabbar Al Janabi, Maytham Salih, Mariam Al Ani, Farouk Sabri",Tariq Al Juboori,,September 2016,Iraq,"Arabic, ,, English"
8,2BR02B: To Be or Naught to Be,"2BR02B: To Be or Naught to Be is a 2016 Canadian short science fiction film directed by Marco Checa Garcia and based on the 1962 short story ""2 B R 0 2 B"" by Kurt Vonnegut. The film was an international collaboration over nearly three years, with additional crew in Sydney, London, Mexico, and the Netherlands.[1] The film features a cameo voice role by veteran actor and The X-Files star William B. Davis. The film's sound was designed by BAFTA-winner Martin Cantwell.[2][3]",Marco Checa Garcia,,"Artin John, Derek Ryan",,Christopher Banting,"Leon Coward, James Tarbotton, Mitchell Politeski",24 April 2016(Sci-Fi-London),"Canada, Australia, United Kingdom, Mexico, Netherlands",English
9,3 Bahadur: The Revenge of Baba Balaam,3 Bahadur: The Revenge of Baba Balaam is a Pakistani 3D animated family film directed by Sharmeen Obaid-Chinoy. It is the second installment in the 3 Bahadur franchise.[2],Sharmeen Obaid-Chinoy,,"Sharmeen Obaid-Chinoy, Salman Iqbal, Jerjees Seja","Zuhab Khan, Hanzala Shahid, Arisha Razi",,,15 December 2016(Pakistan),Pakistan,Urdu
