,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,2gether: The Movie,"The international success of 2gether  and Still 2gether, led Japanese film distribution companies to approach GMMTV with a film project offer. Originally, the film was supposed to be released on 22 April 2021 in Thailand.[1] However, the release was postponed due to an outbreak of COVID-19 cases within the country.[2] On 4 June 2021, the film premiered in Japan,[3] and later on 11 November 2021, it was released in Thailand.[4] On 11 February 2022, the film was released on the streaming platform Disney+ Hotstar in Thailand.[5]","Weerachit Thongjila, Noppanat Chaiwimon, Khanitha Kwanyu",,,"Metawin Opas-iamkajorn, Vachirawit Chivaaree",,,4 June 2021(Japan),Thailand,Thai
1,3:33,"3:33 is a 2021 Indian Tamil-language psychological horror film written and directed by debutant Nambikkai Chandru and produced by Bamboo Trees Productions.[1] The film stars Sandy, Gautham Vasudev Menon and Shruthi Selvam with a supporting cast including Saravanan, Reshma Pasupuleti, Rama and Mime Gopi.[2][3] The film was released theatrically on 10 December 2021.[4]",Nambikkai Chandru,Nambikkai Chandru,T. Jeevitha Kishore,"Sandy, Gautham Vasudev Menon, Shruthi Selvam",Sathish Manoharan,Deepak S Dwaraknath,10 December 2021,India,Tamil
2,4 Kings,"4 Kings (Thai: 4 KINGS อาชีวะ ยุค 90 or 4 Kings ar chee wa yuk 90, lit: 4 Kings 90's vocational) is a 2021 Thai neo-noir crime drama film written and directed by Phuttipong Nakthong, produced by Thanawat Thampreechapong
The film follows the conflict between vocational students and students of various institutions in the 1990s.",Phuttipong Nakthong,Phuttipong Nakthong,Thanawat Thampreechapong,"Itkron Pungkiatrussamee, Poom Rungsrithananon, Arak Amornsupasiri, Nat Kitcharit, Sirat Intarachote, Akarin Akaranitimaytharatt, Ukrit Willibrord Dongabriel",Pasit Tandaechanurat,Dog Back Dee,9 December 2021,Thailand,Thai
3,4 Sorry,"4 Sorry is a 2021 Indian Tamil-language anthology film, consisting of four short film segments directed by Sakthivel. Featuring John Vijay, Kaali Venkat and Sakshi Agarwal in leading roles, the film was released on 29 October 2021.[1][2][3][4]",Sakthivel,,"Senthil Prabu, Sakthivel, Jeganarayanan, Karthik Ashokan","John Vijay, Kaali Venkat, Sakshi Agarwal",Venkatesh Prasad,PK,29 October 2021,India,Tamil
4,Hush,"Foster was born in Oceanside, California[1] and attended El Camino High School.[2] He later moved to North Hollywood, Los Angeles.[3]",,,,,,,,,
5,6:45,"6:45 is a 2021 horror film that was directed by Craig Singer. The film had a limited theatrical release, followed by a release to VOD in 2022.",Craig Singer,Robert Dean Klein,,,Lucas Pitassi,Sam Adelman,"August 6, 2021",United States,English
6,7 Days,"7 Days is a 2021 American romantic comedy film directed by Roshan Sethi, in his directorial debut, from a screenplay by Sethi and Karan Soni. It stars Soni, Geraldine Viswanathan, Mark Duplass, Zenobia Shroff, Aparna Nancherla, Gita Reddy and Jeffery Self.",Roshan Sethi,"Karan Soni, Roshan Sethi","Liz Cardenas, Mel Eslyn","Karan Soni, Geraldine Viswanathan",Jeremy Mackie,Stephanie Kaznocha,"June 10, 2021(Tribeca)",United States,English
7,7 Prisoners,"7 Prisoners (Portuguese: 7 Prisioneiros) is a 2021 Brazilian thriller-drama film[1] directed by Alexandre Moratto from a screenplay written by Moratto and Thayná Mantesso. The film stars Christian Malheiros and Rodrigo Santoro and premiered at the 78th Venice International Film Festival on September 6, 2021. It was released on Netflix in November 2021.",Alexandre Moratto,,"Ramin Bahrani, Fernando Meirelles","Christian Malheiros, Rodrigo Santoro, Bruno Rocha, Vitor Julian, Lucas Oranmian, Cecília Homem de Mello, Dirce Thomaz",,,"September 6, 2021(Venice)",Brazil,Portuguese
8,7 Women and a Murder,"7 Women and a Murder (Italian: 7 donne e un mistero, lit. '7 Women and a Mystery') is a 2021 Italian comedy mystery film co-written and directed by Alessandro Genovesi, serving as a remake of the 2002 film 8 Women by François Ozon, itself based on the play Huit femmes by Robert Thomas.[1][2] It stars Margherita Buy, Diana Del Bufalo, Sabrina Impacciatore, Benedetta Porcaroli, Micaela Ramazzotti, Luisa Ranieri and Ornella Vanoni.",Alessandro Genovesi,,"Mario Gianani, Lorenzo Gangarossa","Margherita Buy, Diana Del Bufalo, Sabrina Impacciatore, Benedetta Porcaroli, Micaela Ramazzotti, Luisa Ranieri, Ornella Vanoni",Federico Masiero,Claudio Di Mauro,25 December 2021,Italy,Italian
9,8-Bit Christmas,"8-Bit Christmas is a 2021 American Christmas comedy film directed by Michael Dowse, from a screenplay by Kevin Jakubowski based upon his novel of the same name. It stars Neil Patrick Harris, Winslow Fegley, June Diane Raphael, David Cross, and Steve Zahn. The film was released on November 24, 2021, on HBO Max, receiving generally favorable reviews from critics.",Michael Dowse,Kevin Jakubowski,"Tim White, Trevor White, Allan Mandelbaum, Nick Nantell, Jonathan Sadowski","Neil Patrick Harris, Winslow Fegley, June Diane Raphael, David Cross, Steve Zahn","Samy Inayeh, [, 1, ]","Trevor Ambrose, [, 2, ]","November 24, 2021",United States,English
10,The 8th Night,"The 8th Night (Korean: 제8일의 밤; RR: Je8irui bam) is a 2021 South Korean horror thriller film[2] directed by Kim Tae-hyoung for Gom Pictures starring Lee Sung-min, Park Hae-joon, Kim You-jung, and Nam Da-reum.[3]  The film depicts the struggle of a former exorcist attempting to stop the resurrection of two mysterious beings who tormented humans and were locked up in separate caskets for 2500 years. It was released on Netflix and made available for streaming in 190 countries on 2 July 2021.[4][5]",Kim Tae-hyoung,,Hyun Kwang Seo,"Lee Sung-min, Park Hae-joon, Kim You-jung, Nam Da-reum",Choo Kyeong-yeob,Kim Sun-min,"July 2, 2021",South Korea,Korean
11,9,"9 is a 2021 Uruguayan-Argentine sports drama film written and directed by Martín Barrenechea & Nicolás Branca (in their directorial debuts). It stars Enzo Vogrincic, Rafael Spregelburd, Horacio Camandulle, Rogelio Gracia, Roxana Blanco, Lara Sofía, Santiago Sanguinetti.[1] The film won Best International Film at the 8th National Film Awards.[2] It was also considered by Uruguay's Instituto Nacional del Cine and the Audiovisual Uruguayo for the Uruguayan selection for the Best International Feature Film at the 95th Academy Awards, but it was not chosen.[3]","Martín Barrenechea, Nicolás Branca","Martín Barrenechea, Nicolás Branca","Virginia Hinze, Lucía Gaviglio Salkind","Enzo Vogrincic, Rafael Spregelburd, Horacio Camandulle",Matías Lasarte,Anabela Lattanzio,13 November 2021(Huelva),"Uruguay, Argentina",Spanish
12,09,"09 had its premiere on March 3, 2021 in Talari Hunar, Slemani. It was theatrically released on March 4, 2021.",Bakhtyar Fatah,Darko Jabar,Bakhtyar Fatah,"Mahir Hassan, Sirwan Jamal, Chrika Abarash, Besaran Jasim, Zhalla Rasul, Mohammed Wrya","Zanyar Fatah, Saman Jalal",Miran Omar,"March 3, 2021(City Cinema)1",Kurdistan,Kurdish
13,9/11: Inside the President's War Room,9/11: Inside the President's War Room is a 2021 documentary about the September 11 attacks released by Apple TV+ and BBC One.,Adam Wishart,,,,,,"September 1, 2021",United States,English
14,12 'O' Clock,"12 'O' Clock is a 2021 Indian Hindi-language horror film directed by Ram Gopal Varma and starring Mithun Chakraborty, Flora Saini, Manav Kaul, Krishna Gautam and Makarand Deshpande.[2][3][4] The film was first announced with the name Geher, but the following trailer revealed it had been renamed 12 'O' Clock on 3 July 2020.[5][non-primary source needed][6][7] It was released in India on 8 January 2021.[1]",Ram Gopal Varma,,Ram Gopal Varma,"Mithun Chakraborty, Makarand Deshpande, Flora Saini, Manav Kaul, Krishna Gautam",Amol Rathod,,8 January 20211,India,Hindi
