,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,0.0 MHz,"A girl who joins the student club of paranormal researchers and decides to go to an infamous village house in which a resident hanged herself a few years ago. Since then, there have been rumors among the locals about a vengeful ghost that settled in the house. The villagers even invited a shaman to drive away the spirit, but that woman was found dead. Not particularly believing in ghosts, the students come to the cursed house to conduct a ritual there and check what happens to the human brain during sleep, when its rhythms fall to 0.0 MHz.[5][6]",Yoo Sun-dong,"Yoo Sun-dong, Jak Jang",Oh Je-hun,"Choi Yoon-young, Shin Ju-hwan, Jung Eun-ji",Cha Taek-kyun,Moon In-dae,"May 29, 2019(South Korea)",South Korea,Korean
1,1BR,"1BR is a 2019 American horror thriller film written and directed by David Marmor, in his directorial debut.[2] The title is an abbreviation of ""one bedroom,"" commonly seen in real estate listings. The film premiered at Fantasia International Film Festival in July 2019, and was released in the United States in 2020. The film follows the story of Sarah, an aspiring costume designer who moves into a one-bedroom apartment in Los Angeles, unaware that the complex is owned by a cult who uses torture to force new residents to join their community.[3]",David Marmor,David Marmor,"Alok Mishra, Sam Sandweiss, Shane Vorster, Allard Cantor, Jarrod Murray, Nic Izzi, Jake Alden-Falconer, Austin Thomas","Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips, Naomi Grossman",David Bolen,"Rich Fox, David Marmor, Anna Rottke","July 19, 2019(Fantasia)",United States,English
2,1st Born,"1st Born is a 2019 comedy film directed by Ali Atshani and starring Taylor Cole, Reza Sixo Safai, Jay Abdo, Tom Berenger, Val Kilmer, and Denise Richards.[2]  It is the first time Iran and the United States have collaborated on a film.[3]",Ali Atshani,"Sam Khoze, Tarek Zohdy, Mehdi Alimirzaee","Ali Atshani, Edwin Avaness, Sam Khoze, Jack Sheehan","Taylor Cole, Reza Sixo Safai, Jay Abdo, Tom Berenger, Val Kilmer, Denise Richards",Naeem Seirafi,"Sam Khoze, Phil Norden","December 3, 20191","United States, Iran",English
3,1st Rank Raju,1st Rank Raju is a 2019 Indian Telugu comedy-drama film written and directed by Naresh Kumar HN and produced by Manjunath VK.[2] The film is a remake of the director's own 2015 Kannada film of the same name. The music director Kiran Ravindranath.[3] The release date is 21 June 2019. It stars Chetan Maddineni and Kaashish Vohra in lead roles.,Naresh Kumar HN,Naresh Kumar HN,Manjunath VK,"Chetan Maddineni, Kaashish Vohra",,,21 June 20191,India,Telugu
4,2 Hours Love,"2 Hours Love is a 2019 Indian Telugu-language romantic film released on 6 Sep, 2019. The movie is directed by Sri Pawar and featured Sri Pawar, Kriti Garg, Tanikella Bharani and Narsing Yadav as lead characters.",Sri Pawar,Sri Pawar,,"Sri Pawar, Kriti Garg",Praveen vanamali,Syam Vadavalli,6 September 20191,India,"Telugu, [, 3, ]"
5,3 Day Weekend,"3 Day Weekend is a 2019 feature-length puzzle thriller notable for being made with no dialogue.[1] It was written and directed by Wyatt McDill, and produced by Megan Huber who together own the film's production company, Sleeper Cell Films.[2] 3 Day Weekend stars Maya Stojan, Morgan Krantz, Nathan Phillips, and Scott MacDonald through the events of a kidnapping over the course of a three day weekend.",Wyatt McDill,Wyatt McDill,Megan Huber,"Maya Stojan, Morgan Krantz, Nathan Phillips, Scott MacDonald",,,"October 23, 2019",United States,
6,3 Days to Go,"3 Days to Go is a 2019 South African Indian drama film written and directed by producer Bianca Isaac on her directorial debut.[1] The film stars Leeanda Reddy, Bollywood actress Lillete Dubey, Jailoshini Naidoo and Kajal Bagwandeen in the lead roles.[2] The film was set in Durban and had its theatrical release on 25 January 2019.[3][4]",Bianca Isaac,,,"Leeanda Reddy, Lillete Dubey, Jailoshini Naidoo, Kajal Bagwandeen",,,25 January 2019,South Africa,English
7,3 Days with Dad,"3 Days with Dad is a 2019 American comedy film written and directed by Larry Clarke and starring Clarke, Tom Arnold, Julie Ann Emery, Mo Gaffney, Jon Gries, Eric Edelstein, J. K. Simmons, Lesley Ann Warren and Brian Dennehy (in his last film during his lifetime).[1][2][3]",Larry Clarke,Larry Clarke,"Brad Brizendine, Kirk Roos","Larry Clarke, Tom Arnold, Julie Ann Emery, Mo Gaffney, Jon Gries, Eric Edelstein, J. K. Simmons, Lesley Ann Warren, Brian Dennehy",Christopher Gallo,,"September 13, 2019",United States,English
8,3 from Hell,"3 from Hell is a 2019 American horror film written, co-produced, and directed by Rob Zombie. It is the third and final installment in the Firefly trilogy, which began with House of 1000 Corpses (2003), and stars Sheri Moon Zombie, Bill Moseley, Richard Brake, and Sid Haig. Ten years have passed since the events of The Devil's Rejects (2005). The plot follows an incarcerated Otis Driftwood and Baby Firefly being freed by Otis's half-brother, after barely surviving a police shootout a decade ago.",Rob Zombie,Rob Zombie,"Mike Elliott, Rob Zombie, Tony Ciulla","Sheri Moon Zombie, Bill Moseley, Richard Brake, Jeff Daniel Phillips, Dee Wallace, Emilio Rivera, Richard Edson, Kevin Jackson, Pancho Moler, Steven Michael Quezada, Clint Howard, Barry Bostwick, Danny Trejo, Sid Haig",David V. Daniel,Glenn Garland,"September 16, 2019",United States,English
9,A 3 Minute Hug,"A 3 Minute Hug is a 2019 documentary film directed and written by Everardo González. The premise revolves around the event that took place in May 2018 when the event ""Hugs Not Walls"" took place, organized by the Border Network For Human Rights. On this event, people from both sides of a dry embankment along the Rio Grande who are usually separated get a few minutes to reunite.[1][2]",Everardo González,Everardo González,,,,,"October 28, 2019","Mexico, United States",Spanish
10,3pol Trobol: Huli Ka Balbon!,"3pol Trobol: Huli Ka Balbon! (transl. Triple Trouble: Got You Balbon!) is a 2019 Philippine action-comedy-romance film directed by and starring Coco Martin under his real name Rodel Nacianceno, alongside Jennylyn Mercado and Ai-Ai delas Alas.[2]",Rodel Nacianceno,,"Eileen Angela T. Garcia, Rodel Nacianceno","Coco Martin, Ai-Ai delas Alas, Jennylyn Mercado",Moises Zee,Renewin Alano,"December 25, 2019",Philippines,Filipino
11,The 3rd Eye 2,"The story starts with Alia taking a shower and a ghost observing her from behind. A mysterious ghost called Mirah has been following Alia and her sister Abel for almost a year now. Alia is intrigued by the ghost Mirah and wants to find out more about its past and help it. She learns about psychometry, the ability to see an object's past when in direct skin contact with it, from her spiritual adviser Mrs. Windu. She uses her newly earned psychometric skills to find out Mirah's past from her necklace. Her vision shows a brown-colored mansion too big for a normal family to live in. At the same time, she sees the future with water magic and sees her sister Abel dying. She quickly rushes to Abel but it is too late, she was already dead and Mirah's spirit was standing beside her.",Rocky Soraya,"Riheam Junianti, Rocky Soraya",,"Jessica Mila, Nabilah Ratna Ayu Azalia, Sophia Latjuba",,,"January 17, 2019",Indonesia,Indonesian
12,4 Letters,"4 Letters is a 2019 Indian Telugu-language romantic comedy film directed by R. Raghuraj. The film stars newcomers Eswar, Tuya Chakraborthy and Anketa Maharana.[1]",R. Raghuraj,,,"Eswar, Tuya Chakraborthy, Anketa Maharana",Chitti Babu. K,,19 February 2019,India,Telugu
13,4L,"As the plot begins, Tocho, a rough, alcohol-infused citizen of Bilbao, Spain, receives a letter telling him that Joseba, an old friend, is dying in Timbuktu. Deeply touched and nostalgic, Tocho travels by coach to France where he enlists another old friend, Jean Pierre, the owner of a vineyard, to join him on a trip to say goodbye to their beloved Joseba. Jean Pierre somewhat tentatively agrees, and the two men next visit Joseba's estranged daughter Ely to ask her to join them. To their amazement, Ely reveals that the old 1982 Renault that the three friends once drove across the Sahara Desert has been carefully preserved in her garage. She accepts their offer, if they'll drive in the Renault from Spain to Timbuktu once again. With fond memories of their youthful adventures, Jean Pierre and Tocho agree to recreate the journey with Ely in tow. But the men and the car are older now, and times have changed. What was once a road trip of freedom becomes a journey fraught with breakdowns and stereotypical near-death moments in the desert. A Malian hitchhiker Mamadou is befriended by Ely, but dies of thirst when walking off to seek help when the 4L breaks down. There is an encounter in the middle of the Tanezrouft with a French trafficker who has a grudge against Jean Pierre, who stole one of his trucks many years ago. Arriving in Timbuktu the three travellers find an ailing Joseba and his Malian partner, and the closing scene leaves the 4 main characters promising to restore a riverboat on the Niger (in reality about 20 km from Timbuktu) owned by Joseba.",Gerardo Olivares,"Gerardo Olivares, María Jesús Petrement",,"Jean Reno, Hovik Keuchkerian, Susana Abaitua, Arturo Valls, Enrique San Francisco",,,"March 1, 2019",Spain,"Spanish, French, Afrikaans"
