,title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language
0,4 Kids Walk Into a Bank,"4 Kids Walk Into a Bank is an upcoming American black comedy heist film directed by Frankie Shaw. Shaw also worked on the screenplay originally written by Matt Robinson, adapted from the 2017 graphic novel by Matthew Rosenberg and Tyler Boss. The film stars Liam Neeson, Talia Ryder, Whitney Peak, Jack Dylan Grazer, Spike Fearn, Teresa Palmer, and Jim Sturgess.",Frankie Shaw,,"Erik Feig, Evan Goldberg, Seth Rogen, Jessica Switch, James Weaver, Matt Pizzolo, Brett Gurewitz, Matt Robinson, Frankie Shaw, Matthew Rosenberg, Tyler Boss, Royce Reeves Darby","Liam Neeson, Talia Ryder, Whitney Peak, Jack Dylan Grazer, Spike Fearn, Teresa Palmer, Jim Sturgess",Robert Richardson,Jeff Betancourt,August 2026,United States,English
1,9 Moons,"9 Moons (Spanish: 9 lunas)[1] is a 2026  comedy film directed by Patricia Ortega. It stars Zack Gómez-Rolls alongside Jorge Sanz, María León, Sara Sálamo, Fernando Guallar, and Kiti Mánver. It is a Spanish-Belgian co-production.",Patricia Ortega,,Olmo Figueredo González-Quevedo,"Zack Gómez-Rolls, Jorge Sanz, María León, Sara Sálamo, Fernando Guallar, Kiti Mánver",Diego Dussuel,Fátima de los Santos,7 March 2026(Málaga),"Spain, Belgium",Spanish
2,17,"17 is a 2026 drama film directed by Kosara Mitić and co-written by Ognjen Sviličić. Starring Eva Kostić, Martina Danilovska, Dame Joveski and Eva Stojcevska.",Kosara Mitić,"Kosara Mitić, Ognjen Sviličić","Tomi Salkovski, Kristijan Burovski, Miroslav Mogorović, Vlado Bulajić, Lija Pogačnik","Eva Kostić, Martina Danilovska, Dame Joveski, Eva Stojcevska, Petar Manic",Naum Doksevski,Vladimir Pavlovski,18 February 2026(Berlinale),"North Macedonia, Serbia, Slovenia",Macedonian
3,18th Rose,"18th Rose is a 2026 Philippine coming-of-age romantic drama film directed by Dolly Dulu from a screenplay he co-wrote with John Carlo Pacala. The film stars Xyriel Manabat in her first leading role in a feature film, and Kyle Echarri.[2]",Dolly Dulu,"Dolly Dulu, John Carlo Pacala",Omar Sortijas,"Xyriel Manabat, Kyle Echarri",,,"April 9, 20261",Philippines,Filipino
4,28 Years Later: The Bone Temple,"28 Years Later: The Bone Temple is a 2026 post-apocalyptic horror film directed by Nia DaCosta and written by Alex Garland. It is the direct sequel to 28 Years Later (2025) and the fourth instalment in the 28 Days Later film series. It stars Ralph Fiennes, Jack O'Connell, Alfie Williams, Erin Kellyman, and Chi Lewis-Parry. The film follows Spike as he is adopted into ""Sir Lord"" Jimmy Crystal's satanic cult while Dr. Ian Kelson makes an unexpected connection with Samson, an Alpha Infected.",Nia DaCosta,Alex Garland,"Andrew Macdonald, Peter Rice, Bernie Bellew, Danny Boyle, Alex Garland","Ralph Fiennes, Jack O'Connell, Alfie Williams, Erin Kellyman, Chi Lewis-Parry",Sean Bobbitt,Jake Roberts,13 January 2026(United Kingdom),"United Kingdom, United States",English
5,29,"29 is an upcoming Indian Tamil-language romantic drama film written and directed by Rathna Kumar, the film stars Vidhu and Preethi Asrani in the lead roles, alongside Mahendran, Avinash, Shenaz Fathima and Prem Kumar in important roles. The film is jointly produced Karthik Subbaraj under his Stone Bench Creations headed by Kaarthekeyen Santhanam and Lokesh Kanagaraj under his G Squad banners respectively.",Rathna Kumar,Rathna Kumar,"Karthik Subbaraj, Kaarthekeyen Santhanam, Lokesh Kanagaraj","Vidhu, Preethi Asrani",Madhesh Manickam,R. S. Sathish Kumar,8 May 2026,India,Tamil
6,53 Sundays,"53 Sundays (Spanish: 53 domingos) is a 2026 Spanish comedy-drama film written and directed by Cesc Gay based on his own play 53 diumenges. It stars Javier Cámara, Carmen Machi, Javier Gutiérrez, and Alexandra Jiménez.",Cesc Gay,,,"Javier Cámara, Carmen Machi, Javier Gutiérrez, Alexandra Jiménez",Andreu Rebés,,27 March 2026,Spain,Spanish
7,58th,"58th is a 2026 Philippine adult animated biographical drama film directed by Carl Joseph Papa, from a screenplay co-written with Aica Riz Ganhinhin. Filmed entirely as a docudrama, the film revolves the 2009 Maguindanao massacre, one of the deadliest massacres to ever occur in the Philippines; the eponymous last victim, whose body was never found over the years, is the primary narrative thread of the massacre, which follows the effect on one of the victims' children.",Carl Joseph Papa,"Aica Riz Ganhinhin, Carl Joseph Papa",Nessa Valdellon,"Glaiza de Castro, Ricky Davao",Jethro Aaron Jamon,Benjamin Tolentino,"January 31, 2026(Rotterdam)",Philippines,Filipino
8,72 Hours,"72 Hours is an upcoming American comedy film directed by Tim Story and starring Kevin Hart, Marcello Hernández, Mason Gooding, Teyana Taylor, Ben Marshall, Zach Cherry, Kam Patterson, and Michael Mando.",Tim Story,"Jon Hurwitz, [, 1, ], Hayden Schlossberg, Kevin Burrows, Matt Mider","John Davis, Jon Hurwitz, Hayden Schlossberg, Josh Heald, Kevin Hart, Luke Kelly-Clyne, Bryan Smiley, Will Packer, Tim Story","Kevin Hart, Marcello Hernández, Mason Gooding, Teyana Taylor, Ben Marshall, Zach Cherry, Kam Patterson, Michael Mando",Larry Blanford,,"July 24, 2026",United States,English
9,99/66,,M. S. Moorthy,M. S. Moorthy,M. S. Moorthy,"Rachitha Mahalakshmi, M. S. Moorthy, P. Sabari, Rohinth Chellappa, Swetha Dorathy",Seviloraja,Dv. Meenakshisundar,6 March 2026,India,Tamil
